Bore,Latitude,Longitude,Cl,cl_d_stdev,cl_d_skew,cl_d_mean,cl_d_final,rainann,R,geol,Group,Count,BoreDepth
GW075012,-33.37,151.3,30.5,3.44,-0.2134,51.42,47.73,1365,156.49,14,M600,2,0
GW035939,-34.63,150.56,11.42,2.5,-0.1594,24.2,22.77,1593,199.42,14,M600,5,24.3
GW047212,-33.31,151.24,19.04,3.71,-0.4422,43.33,39.24,1228,206.17,14,M600,4,45
GW047214,-33.38,151.23,20.75,4.17,-0.0364,56.44,53.37,1277,257.15,14,M600,4,70
GW047154,-33.35,151.29,26.06,3.44,-0.2134,51.42,47.73,1342,183.15,14,M600,2,46
GW040982,-34.52,150.59,11.33,2.63,-0.1361,26.59,24.71,1497,218.07,14,M600,30,92
GW053148,-33.24,151.22,15.2,4.07,-0.4031,38.62,34.35,1161,225.95,14,M600,3,46
GW037906,-33.31,151.19,29.81,3.73,-0.3478,43.99,39.93,1168,133.94,14,M600,5,32
GW051906,-33.33,151.29,20.1,3.44,-0.2134,51.42,47.73,1312,237.46,14,M600,4,26
GW047650,-33.22,151.22,13.07,4.34,-0.3389,35.04,30.67,1154,234.66,14,M600,2,37.2
GW271009,-33.33,151.17,27,3.99,-0.0653,50.85,47.11,1148,174.47,14,M600,3,0
GW042526,-33.31,151.19,24.22,3.73,-0.3478,43.99,39.93,1168,164.84,14,M600,3,27.4
GW075092,-33.76,150.63,54.33,2.91,-0.1318,18.03,14.93,981,27.48,14,M600,3,0
GW048034,-33.34,151.23,35.85,3.53,-0.2187,49.55,45.8,1247,127.75,14,M600,4,46
GW053610,-33.21,151.2,23.91,4.34,-0.3389,35.04,30.67,1154,128.26,14,M600,4,76
GW042602,-33.41,151.29,30.66,3.63,-0.1015,54.46,51.19,1347,166.93,14,M600,6,77.7
GW038013,-34.69,150.16,14.54,1.31,0.2567,9.96,9.37,937,64.49,14,M600,2,24.3
GW037905,-33.31,151.2,38.47,3.73,-0.3478,43.99,39.93,1168,103.8,14,M600,4,82.2
GW047740,-33.13,151.19,54.11,4.49,-0.2715,33.14,28.69,1071,53.03,14,M600,2,60
GW042524,-33.31,151.19,17.04,3.73,-0.3478,43.99,39.93,1168,234.37,14,M600,3,39.6
GW011299,-34.23,150.56,340.19,2.48,-0.2497,21.5,19.05,936,5.6,14,M600,2,60.9
GW032991,-33.22,151.22,20.03,4.34,-0.3389,35.04,30.67,1154,153.12,14,M600,2,54.8
GW051268,-33.37,151.29,33.1,3.44,-0.2134,51.42,47.73,1342,144.19,14,M600,4,30
GW048032,-33.26,151.22,29.93,4.07,-0.4031,38.62,34.35,1169,114.79,14,M600,4,74.3
GW047416,-34.22,150.55,115.05,2.5,-0.2669,20.97,18.42,923,16.01,14,M600,2,64
GW047462,-33.55,150.94,74.45,4.03,0.0233,46.26,42.43,892,57,14,M600,2,4
GW047003,-34.55,150.24,246.4,1.54,0.1813,11.12,10.18,873,4.13,14,M600,2,99
GW037967,-34.62,150.21,42.93,1.42,0.2147,10.51,9.72,940,22.64,14,M600,4,83.8
GW047088,-33.23,151.23,36.78,3.94,-0.4588,40.92,36.68,1187,99.73,14,M600,2,50
GW047072,-33.58,150.93,217.5,3.74,-0.0196,44.1,40.33,888,18.54,14,M600,2,25
GW037823,-33.3,151.2,111.36,3.73,-0.3478,43.99,39.93,1154,35.86,14,M600,3,38.1
GW028238,-34.43,150.29,292.31,1.71,0.0915,12.23,10.98,849,3.76,14,M600,2,57.9
GW075093,-33.76,150.62,80.5,2.75,-0.0627,16.44,13.53,1035,16.8,14,M600,4,0
GW010604,-34.19,150.58,125.52,2.59,-0.2614,23.7,21.04,883,16.76,14,M600,2,76.2
GW060091,-33.93,150.63,661,2.77,-0.2288,19.43,16.58,835,2.51,14,M600,3,58
GW042979,-34.43,150.4,407.12,2.01,-0.0471,15.24,13.68,909,3.36,14,M600,3,55.2
GW040954,-34.17,150.76,1040.71,2.91,-0.0945,32.2,29.55,867,2.84,14,M600,14,0
GW058555,-33.52,151.15,88,12.62,0.6724,79.36,77.8,1188,88.41,14,M600,1,0
GW015713,-33.41,151.02,52.61,4.16,-0.0403,47.38,43.47,949,82.63,14,M600,1,1.3
GW047169,-33.41,150.96,18,3.96,-0.1367,42.54,38.33,982,212.97,14,M600,1,3
GW038173,-33.53,150.88,63.82,3.68,-0.1371,40.51,36.4,897,57.04,14,M600,1,6
GW041041,-34.52,150.57,28,2.42,-0.1479,22.93,21.11,1443,75.41,14,M600,1,9.2
GW075410,-34.22,150.54,26,2.5,-0.2669,20.97,18.42,977,70.83,14,M600,1,17.5
GW037337,-33.22,151.21,28.36,4.34,-0.3389,35.04,30.67,1154,108.15,14,M600,1,19.8
GW044710,-34.62,150.16,18,1.29,0.2742,9.65,8.97,848,49.84,14,M600,1,19.8
GW047597,-33.38,151.29,34.03,3.63,-0.1015,54.46,51.19,1347,150.42,14,M600,1,26
GW042525,-33.31,151.19,19.5,3.73,-0.3478,43.99,39.93,1168,204.76,14,M600,1,27.4
GW053203,-33.24,151.22,15.6,4.07,-0.4031,38.62,34.35,1161,220.2,14,M600,1,28
GW053754,-34.69,150.15,12.41,1.31,0.2567,9.96,9.37,937,75.54,14,M600,1,28
GW051668,-34.15,150.51,581.78,2.41,-0.226,18.05,15.57,942,2.68,14,M600,1,30
GW047267,-33.39,151.27,30.14,4.17,-0.0364,56.44,53.37,1311,177.08,14,M600,1,30.5
GW047232,-33.35,151.28,21.98,3.44,-0.2134,51.42,47.73,1312,217.15,14,M600,1,31
GW015384,-34.42,150.32,25.03,1.72,0.0848,12.15,10.82,855,43.24,14,M600,1,32.3
GW015593,-34.43,150.31,20.7,1.71,0.0915,12.23,10.98,837,53.03,14,M600,1,32.3
GW057570,-33.33,151.25,19,3.53,-0.2187,49.55,45.8,1247,241.05,14,M600,1,33
GW060293,-33.68,151.25,52.83,7.46,0.3532,66.84,65.02,1406,123.08,14,M600,1,34
GW060319,-33.38,151.24,34.74,4.17,-0.0364,56.44,53.37,1277,153.63,14,M600,1,34
GW010460,-34.19,150.56,91.43,2.5,-0.2669,20.97,18.42,917,20.14,14,M600,1,36.5
GW055918,-34.32,150.58,295.68,2.56,-0.1972,24.78,22.36,1071,7.56,14,M600,1,38
GW042666,-33.22,151.21,21.27,4.34,-0.3389,35.04,30.67,1154,144.2,14,M600,1,38.1
GW018914,-34.42,150.32,95,1.72,0.0848,12.15,10.82,855,11.39,14,M600,1,39
GW010301,-34.17,150.52,38.82,2.41,-0.226,18.05,15.57,942,40.12,14,M600,1,39.6
GW050227,-33.47,150.89,180,3.85,-0.1757,39.96,35.63,959,19.79,14,M600,1,40
GW010496,-34.21,150.57,122.31,2.5,-0.2669,20.97,18.42,923,15.06,14,M600,1,40.6
GW051861,-33.68,151.25,51.05,7.46,0.3532,66.84,65.02,1406,127.37,14,M600,1,42
GW010968,-34.18,150.57,1435.03,2.5,-0.2669,20.97,18.42,917,1.28,14,M600,1,42.6
GW015549,-34.37,150.54,193.25,2.43,-0.2023,22.12,19.91,1073,10.3,14,M600,1,42.6
GW075177,-34.51,150.52,11,2.27,-0.1347,19.9,18.19,1321,165.32,14,M600,1,43
GW047643,-33.31,151.24,43.96,3.71,-0.4422,43.33,39.24,1228,89.27,14,M600,1,44
GW026094,-33.31,151.18,17.37,3.73,-0.3478,43.99,39.93,1168,229.87,14,M600,1,45.7
GW028703,-34.4,150.32,12.41,1.72,0.0848,12.15,10.82,855,87.22,14,M600,1,45.7
GW037336,-33.22,151.21,24.82,4.34,-0.3389,35.04,30.67,1154,123.57,14,M600,1,45.7
GW060350,-33.65,150.93,108,3.4,-0.1566,40.32,36.61,899,33.9,14,M600,1,45.7
GW048106,-33.24,151.23,51,3.94,-0.4588,40.92,36.68,1187,71.92,14,M600,1,46
GW052980,-33.49,150.9,400,3.79,-0.1335,40.88,36.66,947,9.16,14,M600,1,46
GW057737,-33.28,151.23,14.54,3.71,-0.4422,43.33,39.24,1212,269.91,14,M600,1,46
GW057995,-33.37,151.29,26.94,3.44,-0.2134,51.42,47.73,1342,177.17,14,M600,1,46
GW060147,-33.47,151.01,50,4.54,0.0396,50.64,46.93,960,93.86,14,M600,1,46
GW063622,-33.67,151.28,67,11.51,0.6839,78.97,71.16,1378,106.2,14,M600,1,46
GW047304,-33.5,150.55,93.95,3.14,-0.1579,18.58,14.74,1357,15.69,14,M600,1,46.5
GW010872,-34.49,150.32,47.44,1.69,0.1096,12.19,11.03,873,23.26,14,M600,1,46.6
GW053038,-33.34,151.28,18.08,3.44,-0.2134,51.42,47.73,1312,263.99,14,M600,1,47
GW046674,-33.35,151.2,31.91,3.74,-0.1267,50.45,46.73,1189,146.43,14,M600,1,47.2
GW011042,-34.24,150.72,1265.57,2.97,-0.0476,32.3,29.84,959,2.36,14,M600,1,47.3
GW060238,-34.22,150.55,122.31,2.5,-0.2669,20.97,18.42,923,15.06,14,M600,1,48
GW042562,-33.23,151.23,30.14,3.94,-0.4588,40.92,36.68,1187,121.7,14,M600,1,48.1
GW015789,-34.37,150.54,119.9,2.43,-0.2023,22.12,19.91,1073,16.61,14,M600,1,48.7
GW037748,-34.64,150.54,10.99,2.5,-0.1594,24.2,22.77,1511,207.18,14,M600,1,48.7
GW043154,-34.21,150.56,15.95,2.5,-0.2669,20.97,18.42,923,115.47,14,M600,1,48.7
GW056583,-34.65,150.48,20,2.31,-0.1275,21.35,19.96,1391,99.81,14,M600,1,49.4
GW042909,-33.26,151.22,20.21,4.07,-0.4031,38.62,34.35,1169,169.97,14,M600,1,50
GW047649,-33.23,151.23,20.21,3.94,-0.4588,40.92,36.68,1187,181.5,14,M600,1,50
GW053374,-33.32,151.17,23.75,3.82,-0.2617,44.19,40.12,1138,168.92,14,M600,1,50
GW060205,-34.2,150.56,282.1,2.5,-0.2669,20.97,18.42,923,6.53,14,M600,1,50
GW100030,-33.34,151.16,20,3.99,-0.0653,50.85,47.11,1148,235.53,14,M600,1,50
GW059311,-34.2,150.54,53.53,2.5,-0.2669,20.97,18.42,977,34.4,14,M600,1,51.8
GW011234,-34.23,150.57,257.03,2.48,-0.2497,21.5,19.05,936,7.41,14,M600,1,52.4
GW053704,-33.23,151.17,18.44,4.08,-0.3463,38.72,34.44,1112,186.79,14,M600,1,53
GW048465,-33.33,151.22,30,3.74,-0.1267,50.45,46.73,1216,155.75,14,M600,1,53.4
GW046873,-33.37,151.23,23.04,3.53,-0.2187,49.55,45.8,1263,198.78,14,M600,1,54
GW053190,-34.41,150.34,17.37,1.88,0.0152,13.46,11.97,875,68.93,14,M600,1,54
GW046764,-33.31,151.2,24.11,3.73,-0.3478,43.99,39.93,1196,165.61,14,M600,1,55
GW053407,-33.35,151.29,29.07,3.44,-0.2134,51.42,47.73,1342,164.18,14,M600,1,55
GW037285,-34.4,150.48,65.59,2.29,-0.1632,19.25,17.31,991,26.39,14,M600,1,57.9
GW071881,-33.24,151.24,16,3.94,-0.4588,40.92,36.68,1187,229.26,14,M600,1,60
GW075016,-33.3,151.19,29.2,3.73,-0.3478,43.99,39.93,1154,136.74,14,M600,1,60
GW080163,-33.23,151.2,17,4.07,-0.4031,38.62,34.35,1161,202.07,14,M600,1,60
GW080165,-33.4,151.26,36,4.17,-0.0364,56.44,53.37,1311,148.25,14,M600,1,60
GW080167,-33.39,151.22,27,4.76,0.022,57.93,54.92,1252,203.4,14,M600,1,60
GW046763,-33.31,151.2,17.02,3.73,-0.3478,43.99,39.93,1168,234.6,14,M600,1,60.4
GW011200,-34.22,150.56,198.54,2.5,-0.2669,20.97,18.42,923,9.28,14,M600,1,60.9
GW037739,-33.52,150.75,264.12,3.65,-0.3565,28.38,23.92,975,9.06,14,M600,1,60.9
GW047671,-33.3,151.21,19.85,3.73,-0.3478,43.99,39.93,1178,201.15,14,M600,1,61
GW050271,-33.51,150.77,165,3.65,-0.3565,28.38,23.92,975,14.5,14,M600,1,61
GW060228,-34.44,150.4,34.39,2.01,-0.0471,15.24,13.68,909,39.79,14,M600,1,61
GW061360,-33.5,150.87,100,3.7,-0.2774,36.04,31.65,952,31.65,14,M600,1,61
GW037421,-34.67,150.23,14.18,1.59,0.1349,11.89,11.02,1026,77.68,14,M600,1,61.5
GW053607,-33.38,151.28,22.34,3.63,-0.1015,54.46,51.19,1347,229.13,14,M600,1,62
GW018568,-34.22,150.56,210.95,2.5,-0.2669,20.97,18.42,923,8.73,14,M600,1,63.3
GW010459,-34.19,150.55,225.16,2.5,-0.2669,20.97,18.42,917,8.18,14,M600,1,64
GW008537,-34.22,150.59,395.97,2.59,-0.2614,23.7,21.04,878,5.31,14,M600,1,65.5
GW047866,-33.53,150.93,147.84,4.03,0.0233,46.26,42.43,911,28.7,14,M600,1,66
GW053530,-34.58,150.15,23.04,1.29,0.2742,9.65,8.97,816,38.94,14,M600,1,66
GW047779,-33.68,151.25,60,7.46,0.3532,66.84,65.02,1406,108.37,14,M600,1,67
GW047157,-34.53,150.26,11.35,1.54,0.1813,11.12,10.18,912,89.71,14,M600,1,67.1
GW052930,-33.32,151.24,23.4,3.71,-0.4422,43.33,39.24,1228,167.71,14,M600,1,69
GW075412,-34.61,150.44,11,2.11,-0.0614,17.54,16.18,1239,147.07,14,M600,1,70.4
GW029143,-34.22,150.56,40.77,2.5,-0.2669,20.97,18.42,923,45.17,14,M600,1,73.1
GW037747,-34.32,150.57,70.91,2.45,-0.2254,21.67,19.35,1054,27.29,14,M600,1,73.1
GW047114,-33.33,151.19,30.14,3.74,-0.1267,50.45,46.73,1189,155.03,14,M600,1,73.2
GW053290,-33.23,151.24,20.92,3.94,-0.4588,40.92,36.68,1187,175.34,14,M600,1,76
GW034518,-34.23,150.56,331.49,2.48,-0.2497,21.5,19.05,936,5.75,14,M600,1,76.2
GW037822,-33.3,151.2,205.63,3.73,-0.3478,43.99,39.93,1196,19.42,14,M600,1,76.2
GW016553,-34.35,150.55,182.9,2.43,-0.2023,22.12,19.91,1073,10.89,14,M600,1,77.7
GW047392,-34.5,150.29,23.75,1.69,0.1096,12.19,11.03,854,46.46,14,M600,1,78
GW100006,-33.45,150.62,251.77,3.39,-0.1937,20.65,16.47,1335,6.54,14,M600,1,85.4
GW053125,-33.08,151.14,180.1,4.62,-0.0875,28.6,24.2,1026,13.44,14,M600,1,86
GW057840,-33.11,151.15,51.05,4.62,-0.0875,28.6,24.2,1017,47.4,14,M600,1,88
GW028697,-34.65,150.44,14.18,2.15,-0.0913,18.84,17.53,1386,123.6,14,M600,1,88.4
GW057829,-34.26,150.72,350.28,2.97,-0.0476,32.3,29.84,1012,8.52,14,M600,1,90
GW047759,-33.33,151.17,47.15,3.99,-0.0653,50.85,47.11,1148,99.91,14,M600,1,91
GW053017,-33.28,151.21,17.02,3.73,-0.3478,43.99,39.93,1178,234.6,14,M600,1,91
GW053111,-33.51,150.71,246.4,3.58,-0.3248,25.35,20.98,1066,8.51,14,M600,1,91.5
GW053331,-34.52,150.29,93.95,1.69,0.1096,12.19,11.03,892,11.75,14,M600,1,92
GW037894,-33.3,151.19,24.82,3.73,-0.3478,43.99,39.93,1168,160.87,14,M600,1,94.4
GW037932,-34.21,150.53,91.89,2.5,-0.2669,20.97,18.42,977,20.04,14,M600,1,95
GW055337,-31.21,150.08,246.5,0.53,-0.0268,5.98,6.1,650,2.48,11,M700,2,30.5
GW003568,-31.17,150.16,2254,0.53,-0.1143,5.95,6.14,692,0.27,11,M700,2,31.1
GW013570,-31.3,150.15,137.1,0.57,-0.1509,6.17,6.22,662,4.53,11,M700,2,31.4
GW017070,-31.27,150.25,1219,0.59,-0.2845,6.19,6.33,648,0.52,11,M700,2,31.4
GW038808,-31.42,150.38,73.3,0.71,-0.3503,6.67,6.65,635,9.08,11,M700,2,34.1
GW013450,-31.3,150.14,23.9,0.57,-0.1509,6.17,6.22,653,26.01,11,M700,2,36.6
GW032318,-31.38,150.27,719.8,0.64,-0.2746,6.46,6.42,643,0.89,11,M700,2,39.6
GW021022,-32.25,148.61,271,0.42,1.6817,5.34,5.14,589,1.9,11,M700,2,45.1
GW009977,-31.16,150.19,1599,0.55,-0.1998,5.99,6.21,671,0.39,11,M700,2,69.2
GW047945,-33.72,150.34,11.88,1.99,0.1587,11.63,9.42,1416,79.36,11,M700,2,41
GW040963,-32.38,150.44,98.5,1.45,0.5149,8.91,7.48,617,7.59,11,M700,2,21.5
GW025413,-32.28,148.62,18.15,0.38,1.7796,5.22,5.11,596,28.14,11,M700,12,0
GW271010,-33.33,151.32,32,3.44,-0.2134,51.42,47.73,1336,149.15,11,M700,2,18
GW042803,-32.26,148.61,87.53,0.42,1.6817,5.34,5.14,593,5.87,11,M700,2,47.2
GW047993,-33.03,151.42,33.15,3.99,-0.5613,45.26,40.68,1083,122.71,11,M700,2,27
GW042923,-33.25,151.24,21.09,3.94,-0.4588,40.92,36.68,1206,173.88,11,M700,2,64
GW038293,-32.13,150.67,404.95,1.51,0.5383,9.21,7.83,646,1.93,11,M700,2,18.2
GW047040,-33.42,151.39,259.95,6.52,0.2744,69.93,67.31,1414,25.89,11,M700,2,61
GW042838,-33.41,151.33,231.86,4.61,0.0486,61.71,58.74,1374,25.33,11,M700,4,29
GW047061,-33.19,151.55,60.75,7.08,0.3601,76.67,73.63,1228,121.2,11,M700,3,7.3
GW053153,-33,151.16,177.53,4.65,0.0405,26.29,21.84,928,12.3,11,M700,2,9.7
GW021498,-32.28,148.62,25.52,0.38,1.7796,5.22,5.11,596,20,11,M700,7,74.7
GW042628,-30.31,149.98,83.64,0.38,2.1593,5.95,6.06,705,7.24,11,M700,3,42.6
GW008436,-32.27,148.61,63.65,0.42,1.6817,5.34,5.14,593,8.07,11,M700,12,43.3
GW042706,-32.27,148.61,76.63,0.42,1.6817,5.34,5.14,593,6.71,11,M700,8,45.7
GW030421,-31.57,150.68,75.28,0.97,-0.1133,7.54,7.33,665,9.74,11,M700,28,0
GW079056,-32.93,151.15,210,4.63,0.0866,25.59,21.1,854,10.05,11,M700,3,17
GW025414,-32.28,148.63,36.92,0.39,1.7417,5.27,5.14,595,13.91,11,M700,11,0
GW021407,-32.25,148.61,130.47,0.42,1.6817,5.34,5.14,589,3.94,11,M700,2,67.1
GW035786,-33.47,151.41,246.64,7.82,0.4183,73.46,71.19,1335,28.87,11,M700,3,18.2
GW080946,-32.26,150.63,600,1.65,0.5933,9.61,8.02,637,1.34,11,M700,3,19.46
GW037833,-32.69,150.97,169.89,3.53,0.5958,16.37,12.74,683,7.5,11,M700,2,11.8
GW034950,-33.11,151.47,1273.36,3.48,-0.4755,52.86,48.56,1201,3.81,11,M700,3,76.2
GW008701,-31.04,150.12,1592.1,0.5,0.0285,5.79,6.03,739,0.38,11,M700,2,18.5
GW053712,-32.26,150.32,214.29,1.06,0.2748,7.8,6.88,580,3.21,11,M700,2,82
GW057970,-32.26,150.45,1050.44,1.27,0.3579,8.45,7.27,649,0.69,11,M700,2,38
GW080948,-32.25,150.62,1700,1.55,0.5357,9.28,7.8,683,0.46,11,M700,3,41
GW080944,-32.22,150.67,3450,1.58,0.5684,9.41,7.93,634,0.23,11,M700,2,30
GW008695,-31.05,150.1,686.64,0.5,0.0285,5.79,6.03,766,0.88,11,M700,2,53
GW040960,-32.33,150.63,1780,1.8,0.6281,10.03,8.23,634,0.46,11,M700,5,14
GW080380,-32.17,150.58,1000,1.41,0.4732,8.92,7.65,771,0.76,11,M700,1,0
GW096130,-32.22,149.01,1700,0.46,1.4539,5.6,5.33,636,0.31,11,M700,1,0
GW096132,-32.29,148.99,2500,0.46,1.4194,5.63,5.37,666,0.21,11,M700,1,0
GW045014,-31.06,150.13,404.16,0.51,-0.0788,5.82,6.09,714,1.51,11,M700,1,0.9
GW042215,-32.26,148.57,21.37,0.41,1.7261,5.3,5.11,615,23.9,11,M700,1,2.7
GW037736,-33.28,151.41,98.91,4.22,-0.0412,61.68,58.27,1361,58.91,11,M700,1,3
GW026452,-33.53,151.37,411.93,10.87,0.6658,79.32,73.99,1284,17.96,11,M700,1,5.1
GW053617,-32.03,150.71,205.98,1.49,0.5311,9.21,7.91,716,3.84,11,M700,1,6.4
GW080924,-32.21,150.49,160,1.3,0.3828,8.55,7.37,580,4.6,11,M700,1,6.87
GW007589,-33.4,151.36,91.43,4.61,0.0486,61.71,58.74,1373,64.24,11,M700,1,7
GW078830,-32.81,151.08,200,4.32,0.3148,21.64,17.29,733,8.64,11,M700,1,7
GW080925,-32.81,151.19,200,4.6,0.1246,25.32,20.75,949,10.37,11,M700,1,7.1
GW053760,-32.03,150.69,93.24,1.49,0.5311,9.21,7.91,682,8.49,11,M700,1,7.3
GW047948,-33.25,151.4,79.41,3.6,-0.1744,57.45,53.66,1293,67.58,11,M700,1,8
GW043633,-31.33,149.4,301.35,0.68,2.4642,5.74,5.36,712,1.78,11,M700,1,8.2
GW037317,-32.29,150.54,1909.64,1.51,0.5032,9.15,7.69,614,0.4,11,M700,1,9.4
GW037783,-31.53,150.64,102.81,0.93,-0.1598,7.41,7.22,637,7.02,11,M700,1,11.8
GW042216,-32.28,148.6,46.51,0.38,1.7796,5.22,5.11,609,10.98,11,M700,1,11.9
GW023771,-31.87,149.33,862,0.48,1.4601,5.65,5.41,652,0.63,11,M700,1,12.2
GW045043,-31.01,150.1,1350.76,0.49,0.0486,5.73,6.01,671,0.44,11,M700,1,12.2
GW017420,-32.37,150.46,142,1.39,0.4847,8.76,7.41,608,5.22,11,M700,1,12.8
GW035572,-31.56,150.67,561.93,0.93,-0.1598,7.41,7.22,775,1.28,11,M700,1,13.7
GW008983,-31.39,149.62,2467,0.53,1.617,5.83,5.59,762,0.23,11,M700,1,15.2
GW037917,-32.31,150.64,519.92,1.73,0.6132,9.81,8.12,637,1.56,11,M700,1,16.4
GW047000,-32.23,148.62,434.3,0.42,1.6817,5.34,5.14,589,1.18,11,M700,1,17.2
GW034860,-31.48,150.59,113.49,0.86,-0.2542,7.14,7.06,629,6.22,11,M700,1,17.9
GW056013,-33.24,151.25,15.95,3.94,-0.4588,40.92,36.68,1213,229.97,11,M700,1,18
GW042789,-30.31,149.99,182.58,0.38,2.1593,5.95,6.06,705,3.32,11,M700,1,18.2
GW043933,-33.41,151.04,104.98,4.59,0.0139,52.26,48.69,1016,46.38,11,M700,1,18.2
GW042218,-32.27,148.63,103.07,0.42,1.6401,5.39,5.17,604,5.02,11,M700,1,18.3
GW040461,-32.27,148.61,749.83,0.42,1.6817,5.34,5.14,593,0.69,11,M700,1,18.6
GW058743,-32.55,150.69,80,2.31,0.73,11.49,9.09,868,11.36,11,M700,1,18.9
GW080950,-32.38,150.46,530,1.45,0.5149,8.91,7.48,610,1.41,11,M700,1,20
GW013915,-32.4,148.74,52.12,0.41,1.6793,5.39,5.23,606,10.04,11,M700,1,20.1
GW053102,-32.89,151.19,255.26,4.69,0.0088,27.37,22.83,823,8.94,11,M700,1,21
GW021405,-30.33,149.83,15.99,0.38,2.175,5.75,5.82,652,36.39,11,M700,1,21.3
GW042221,-32.28,148.62,266.46,0.38,1.7796,5.22,5.11,596,1.92,11,M700,1,21.3
GW047659,-33.43,151.4,116.99,7.82,0.4183,73.46,71.19,1376,60.85,11,M700,1,22
GW015424,-30.31,149.94,293.94,0.38,2.2209,5.9,5.99,688,2.04,11,M700,1,22.8
GW018661,-30.32,149.96,53.99,0.38,2.2209,5.9,5.99,701,11.09,11,M700,1,22.8
GW080965,-32.7,151.01,2100,3.73,0.5457,17.47,13.65,665,0.65,11,M700,1,23
GW058046,-32.24,150.45,1700,1.27,0.3579,8.45,7.27,612,0.43,11,M700,1,24
GW080943,-32.14,150.67,570,1.51,0.5383,9.21,7.83,646,1.37,11,M700,1,24
GW012709,-33.39,151.36,70.73,4.61,0.0486,61.71,58.74,1373,83.04,11,M700,1,24.3
GW063952,-32.16,150.62,170,1.41,0.4732,8.92,7.65,771,4.5,11,M700,1,24.4
GW009070,-31.06,150.1,372.26,0.5,0.0285,5.79,6.03,737,1.62,11,M700,1,26.5
GW060976,-30.54,149.89,5285,0.39,1.2932,5.55,5.78,674,0.11,11,M700,1,26.5
GW059320,-33.41,151.03,395.66,4.59,0.0139,52.26,48.69,1016,12.31,11,M700,1,30
GW271017,-32.18,150.49,220,1.3,0.3828,8.55,7.37,607,3.35,11,M700,1,30
GW004957,-30.2,149.93,75.98,0.39,2.4352,6.02,6.04,721,7.94,11,M700,1,30.4
GW020539,-30.25,149.98,133.98,0.38,2.3291,6.01,6.08,806,4.54,11,M700,1,30.4
GW034374,-30.39,149.93,166.8,0.38,1.8388,5.78,5.93,660,3.56,11,M700,1,30.4
GW037483,-33.38,151.38,145.36,6.52,0.2744,69.93,67.31,1384,46.31,11,M700,1,30.4
GW049143,-31.54,150.64,3447.51,0.93,-0.1598,7.41,7.22,637,0.21,11,M700,1,30.4
GW009882,-31.01,149.76,100.5,0.45,1.5398,5.6,5.61,679,5.58,11,M700,1,32
GW059453,-33.41,151.41,105,6.52,0.2744,69.93,67.31,1407,64.11,11,M700,1,32
GW005720,-30.25,150.01,148.97,0.38,2.3291,6.01,6.08,887,4.08,11,M700,1,32.6
GW061317,-32.25,150.01,470,0.81,0.268,6.92,6.28,611,1.34,11,M700,1,32.6
GW013858,-30.67,149.87,694.88,0.39,1.1038,5.43,5.67,687,0.82,11,M700,1,33.5
GW042625,-30.31,149.98,81.9,0.38,2.1593,5.95,6.06,705,7.4,11,M700,1,34.1
GW079745,-32.18,149.79,77,0.7,0.1978,6.7,6.02,636,7.81,11,M700,1,34.3
GW080949,-32.18,150.57,1000,1.39,0.4446,8.82,7.54,740,0.75,11,M700,1,35
GW047967,-33.39,151.45,3870.05,9.08,0.5474,78.44,76.16,1390,1.97,11,M700,1,36
GW048250,-31.42,150.41,201.5,0.71,-0.3503,6.67,6.65,637,3.3,11,M700,1,36.4
GW012081,-32.24,148.61,133.3,0.42,1.6817,5.34,5.14,589,3.86,11,M700,1,37.8
GW047465,-33.05,151.4,355.95,3.99,-0.5613,45.26,40.68,1138,11.43,11,M700,1,38
GW053527,-32.22,150.33,71.26,1.08,0.2141,7.88,6.94,577,9.74,11,M700,1,38.1
GW047969,-32.26,148.6,28.72,0.42,1.6817,5.34,5.14,593,17.89,11,M700,1,38.5
GW012445,-31.59,150.59,675.53,0.92,-0.1359,7.44,7.16,696,1.06,11,M700,1,39.6
GW035641,-31.05,149.96,209.17,0.46,0.4828,5.7,5.85,642,2.8,11,M700,1,39.6
GW017253,-33.48,151.39,412.46,9.16,0.5454,76.72,74.78,1311,18.13,11,M700,1,40.5
GW073036,-32.88,151.2,160,4.69,0.0088,27.37,22.83,823,14.27,11,M700,1,42.5
GW015287,-33.1,151.41,2742.5,3.78,-0.5614,47.19,42.82,1207,1.56,11,M700,1,44.1
GW054081,-30.16,149.96,220,0.4,2.4672,6.08,6.06,731,2.76,11,M700,1,44.2
GW019004,-30.73,149.97,3213.39,0.41,0.6132,5.48,5.79,627,0.18,11,M700,1,45.1
GW042516,-30.34,149.93,2907.15,0.38,2.0458,5.84,5.96,743,0.21,11,M700,1,45.7
GW047383,-33.41,151.41,280,6.52,0.2744,69.93,67.31,1407,24.04,11,M700,1,45.8
GW048141,-33.42,151.42,205,6.52,0.2744,69.93,67.31,1407,32.84,11,M700,1,45.8
GW049206,-33.39,151.39,220,6.52,0.2744,69.93,67.31,1384,30.6,11,M700,1,45.8
GW042707,-32.29,148.64,70.91,0.39,1.7417,5.27,5.14,595,7.24,11,M700,1,46.6
GW054805,-31.03,150.05,980,0.48,0.1576,5.76,5.97,728,0.61,11,M700,1,47
GW009040,-31.1,150.05,186,0.49,0.1374,5.82,5.99,654,3.22,11,M700,1,47.5
GW021295,-32.25,148.61,175.14,0.42,1.6817,5.34,5.14,589,2.93,11,M700,1,48.1
