Bore,Latitude,Longitude,Cl,cl_d_stdev,cl_d_skew,cl_d_mean,cl_d_final,rainann,R,geol,Group,Count,BoreDepth
GW030241,-31.81,149.04,612.45,0.57,1.9849,5.57,5.2,604,0.85,3,WPG,4,45.7
GW020642,-34.5,150.42,640.3,2,-0.0328,15.33,13.87,983,2.17,3,WPG,2,49.9
GW018938,-31.11,149.94,11355.55,0.46,0.4881,5.73,5.83,643,0.05,3,WPG,1,0
GW045046,-31.01,150.17,92.18,0.5,-0.0584,5.75,6.07,738,6.59,6,WPG,1,0
GW008995,-31.39,149.69,723,0.5,1.2616,5.88,5.7,716,0.79,6,WPG,1,4.6
GW008993,-31.33,149.62,528,0.53,1.7091,5.81,5.57,767,1.06,6,WPG,1,4.9
GW009208,-31.94,149.21,719,0.49,1.5277,5.61,5.34,696,0.74,6,WPG,1,4.9
GW012712,-33.68,150.68,400.3,3.16,-0.2776,21.47,17.92,911,4.48,3,WPG,1,6.7
GW004791,-33.71,150.7,1195.69,3.16,-0.2776,21.47,17.92,908,1.5,3,WPG,1,7.3
GW080107,-32.17,149.93,7200,0.71,0.2474,6.58,6.12,668,0.08,3,WPG,1,7.5
GW004789,-33.74,150.65,64.99,2.91,-0.1318,18.03,14.93,985,22.98,3,WPG,1,7.9
GW015956,-33.71,150.7,791.1,3.16,-0.2776,21.47,17.92,908,2.27,3,WPG,1,8.6
GW006101,-31.12,149.77,27.4,0.46,1.4562,5.68,5.65,721,20.61,6,WPG,1,9.8
GW014273,-34.16,150.57,1325.94,2.51,-0.2682,20.12,17.51,908,1.32,3,WPG,1,10.6
GW009437,-31.36,149.59,395,0.53,1.7091,5.81,5.57,758,1.41,6,WPG,1,10.7
GW008998,-31.28,149.72,113,0.49,1.4199,5.82,5.66,784,5.01,6,WPG,1,12.2
GW034256,-34.55,150.42,178.97,1.98,-0.0176,15.4,14.05,1047,7.85,3,WPG,1,12.2
GW047570,-33.62,150.73,14.54,3.45,-0.3908,27.03,22.89,910,157.45,3,WPG,1,13.1
GW037723,-31.6,148.91,425.44,0.8,3.2791,5.47,5.01,653,1.18,3,WPG,1,13.2
