# depth (m),temp,temp_corrected
73.152,20.2117,20.136665
73.3044,20.2141,20.13891
73.4568,20.2167,20.141355
73.6092,20.22,20.1445
73.7616,20.2225,20.146845
73.914,20.2251,20.14929
74.0664,20.2268,20.150835
74.2188,20.2284,20.152281
74.3712,20.2298,20.153526
74.5236,20.2317,20.155271
74.676,20.233,20.156416
74.8284,20.2364,20.159661
74.9808,20.2412,20.164306
75.1332,20.2474,20.170351
75.2856,20.2519,20.174697
75.438,20.256,20.178642
75.5904,20.2595,20.181987
75.7428,20.2633,20.185632
75.8952,20.2674,20.189577
76.0476,20.27,20.192023
76.2,20.2722,20.194068
76.3524,20.2733,20.195013
76.5048,20.2755,20.197058
76.6572,20.2779,20.199303
76.8096,20.2808,20.202049
76.962,20.2835,20.204594
77.1144,20.2863,20.207239
77.2668,20.2894,20.210185
77.4192,20.2917,20.21233
77.5716,20.294,20.214475
77.724,20.2967,20.21702
77.8764,20.2999,20.220066
78.0288,20.3035,20.223511
78.1812,20.3053,20.225156
78.3336,20.3067,20.226402
78.486,20.308,20.227547
78.6384,20.31,20.229392
78.7908,20.3126,20.231838
78.9432,20.3148,20.233883
79.0956,20.3173,20.236229
79.248,20.3203,20.239074
79.4004,20.3242,20.242819
79.5528,20.3287,20.247165
79.7052,20.3341,20.25241
79.8576,20.338,20.256156
80.01,20.342,20.260001
80.1624,20.3462,20.264047
80.3148,20.3507,20.268392
80.4672,20.354,20.271538
80.6196,20.3568,20.274183
80.772,20.3592,20.276429
80.9244,20.3613,20.278374
81.0768,20.3638,20.28072
81.2292,20.366,20.282765
81.3816,20.3695,20.286111
81.534,20.3731,20.289556
81.6864,20.3771,20.293402
81.8388,20.3805,20.296647
81.9912,20.3836,20.299593
82.1436,20.3861,20.301938
82.296,20.3867,20.302384
82.4484,20.3865,20.30203
82.6008,20.3863,20.301675
82.7532,20.3866,20.301821
82.9056,20.3873,20.302366
83.058,20.3878,20.302712
83.2104,20.3887,20.303458
83.3628,20.3889,20.303503
83.5152,20.3894,20.303849
83.6676,20.3899,20.304195
83.82,20.3914,20.30554
83.9724,20.3942,20.308186
84.1248,20.3964,20.310232
84.2772,20.3982,20.311877
84.4296,20.3996,20.313123
84.582,20.4007,20.314069
84.7344,20.4033,20.316515
84.8868,20.4054,20.31846
85.0392,20.4098,20.322706
85.1916,20.4141,20.326852
85.344,20.4183,20.330898
