,ID,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std
119596,40011712.0,149.5915894,-25.499053200000002,760506.615388277,7177253.48236814,55.0,211.15281089510367,169.0,-4.4275,0.17282577932704382
119597,40030741.0,149.1396099,-24.8635262,716177.9995800947,7248466.000302939,55.0,204.4190371661369,379.18,-47.62083333333334,2.4516914512683323
119598,40050600.0,149.19798830000002,-24.1972892,723254.2253100504,7322174.72970792,55.0,234.99869424441448,326.0,-7.88,1.5745687240214912
119602,40047308.0,149.1525003,-24.6868862,717788.9984568818,7268012.999415674,55.0,220.14176300005948,381.0,-28.377142857142854,10.227714050259596
119611,40008465.0,149.28112140000002,-26.9442614,726468.8785980421,7017694.812110163,55.0,264.1786770929259,500.0,-36.44857142857144,19.26286169852046
119614,40014849.0,148.9933478,-26.93759621,697903.1328800524,7018916.5549635375,55.0,261.2009572577935,328.88,-48.4075,7.500067916359158
119620,40048283.0,148.2402909,-25.46482086,624688.6078531482,7183001.364814217,55.0,493.1165316491207,254.0,-9.7,0.0
119626,40141265.0,146.6631233,-19.297065399999997,464606.9971164754,7866268.0029681465,55.0,25.987197560991646,47.0,11.078030303030305,0.8185856607162204
119627,40141316.0,147.0771689,-19.5692546,508094.0022419102,7836182.004972033,55.0,12.959450504128533,21.34,2.57925925925926,0.755859053060343
119628,40141354.0,147.0556241,-19.520227,505835.9975236271,7841608.002817411,55.0,5.209476574238574,35.36,1.8363940520446096,0.8216440184472371
119629,40141482.0,147.1649246,-19.5452294,517300.99672885216,7838833.997551432,55.0,9.927527999999906,18.3,7.400529801324503,0.8903342538333382
119630,40141595.0,147.35359745600002,-19.581781658,537085.0293584126,7834759.298966772,55.0,10.335233085826816,25.3,7.597860422405876,1.7281895798379907
119631,40141635.0,147.3652915,-19.6414432,538297.3767177521,7828154.755637585,55.0,16.45288082367914,27.43,11.854726368159206,2.4959435846713234
119632,40141647.0,147.33193109299998,-19.596781648,534809.4333381603,7833104.010602753,55.0,11.189298285860795,18.9,5.175563380281692,1.5946276551781597
119633,40141698.0,147.1977636,-19.567861399999998,520743.0050115926,7836326.004961938,55.0,10.560760616576108,53.04,6.405073529411764,0.7278347181512893
119634,40141721.0,147.19228710000002,-19.604702399999997,520163.99843313487,7832250.005107622,55.0,14.027357629824223,24.2,6.77105633802817,0.6308787831902002
119635,40142380.0,147.1432572,-19.8138453,515003.00139363593,7809111.999413444,55.0,28.96383032070282,23.05,16.84626666666667,1.123507333704987
