Well name,Longitude,Latitude,Depth,Basin,dTdz,sigma_dTdz,dTcdz,sigma_dTcdz
D.Smith 1,150.314725477,-34.60807187,136.0,Sydney,-0.018848096383694588,0.062122774195996884,-0.019857803049191186,0.062131970777814356
Twin Creeks 1,150.758650967,-33.834119694,215.32,Sydney  ,0.016970686836137148,0.011937044678113316,0.01599007863647272,0.01190796187439162
John Reid Castle Hill 1,151.01702875,-33.72018817,253.0,Sydney,-0.001967619525146877,0.05166963190481407,-0.002930525022947177,0.05169144795866744
Coonemia 1,150.715063214,-34.837317274,796.74,Sydney,0.0,0.0,0.0,0.0
Cook Cove 1,151.1539649,-33.94136972,300.0,Sydney  ,0.011220640596937571,0.006373499016771522,0.010236978495583407,0.006393773548232278
Varroville 2,151.39542,-32.525808,1015.45,Sydney,0.03274732814473529,0.005793347321347136,0.03235718268833424,0.0054871240904264176
Cromer Golf Club PB4,151.273040497,-33.72866087,103.0,Sydney,0.012202441503290513,0.004250559422783437,0.011185384299728892,0.00425175809650096
Bowral C.C. TB1,150.415975339,-34.46836724,224.56,Sydney,0.009574403840309617,0.02699787217644597,0.008594594555674214,0.027010927598850334
Rockdale South 1,150.352490779,-34.441667006,120.87,Sydney  ,0.041886943243392497,0.045862620239117774,0.0408744348754925,0.04585879754419947
DM Warkworth DDH12,151.0363,-32.6031,502.62,Sydney,0.05569999999999998,0.020156780339399247,0.05490853000000002,0.02030617053316484
Goulburn Valley 2,150.3261,-32.4162,461.5,Sydney/Gunnedah,0.10294702743173693,0.0757117125408594,0.10204400116683078,0.07582202308875556
GW40946,150.643643772,-34.53063999,143.0,Sydney,0.023584999999999953,0.00013219304066404135,0.022619805000000003,0.00013984654616758498
Highlands GC,150.465109309,-34.437411684,170.3,Sydney  ,-0.014682034500693844,0.0677648137536694,-0.015679910729744874,0.06778251676825342
Howes Swamp 1,150.694766358,-33.131204511,2569.76,Sydney,0.024166483288725584,0.0,0.024396439738596874,0.0
Strathfield 1,148.41079113,-21.7692931,1105.0,Bowen,0.017244500139237,0.012210397563453958,0.016923798774714546,0.012120071842314421
Edendale 1,150.041833,-28.761667,2239.0,Gunnedah/Bowen,0.0,0.0,0.0,0.0
Cadrady 2,150.208410133,-34.613435544,107.97,Sydney  ,0.03795400829994364,0.03038498534572253,0.03693710498535538,0.03037733422388772
GW75403,150.643643772,-34.53063999,143.0,Sydney,0.012120000000000034,0.002514809469257337,0.011126360000000017,0.002508734734695314
Wallacia 1,150.65237,-33.858768,1123.6,Sydney,-0.5517455072465002,0.7269549688913989,-0.5518726117097711,0.7277070402126111
Scotia 1,150.08081111,-25.94787778,3121.8,Bowen,-0.08364528542760967,0.2212323615741711,-0.08358577248812653,0.22125726642498916
Wilton 1,150.682318891,-34.2273593399,179.35,Sydney  ,-0.004554688949663715,0.04662373858209031,-0.0055525296375957805,0.046639456044422184
Long Reef GC1,151.30553768,-33.74068992,102.0,Sydney,0.019252831592517273,0.012752801123586375,0.01823574982134545,0.012757911403652277
Yaraandoo 3,150.29242293,-34.43272404,132.5,Sydney,0.02030483373066811,0.017451484246012793,0.019295093325484042,0.017442291316514074
Moree 2,149.72375,-29.103139,1221.0,Gunnedah/Bowen,0.0,0.0,0.0,0.0
GW40954_2,150.638985171,-34.531279767,146.0,Sydney,0.022359999999999974,0.002710768648680056,0.021406180000000035,0.002719439842369488
Mt Robertson 2,150.571309309,-34.601247581,162.94,Sydney  ,0.02153942570454245,0.014532743642591021,0.02053824258925379,0.01451588455896733
GW7093_4,150.643643772,-34.53063999,143.0,Sydney,nan,nan,nan,nan
Nyora 1,149.456886481,-30.31894656,811.3,Gunnedah,0.0,0.0,0.0,0.0
Austral TNC16,150.58391049,-34.1449943,101.7,Sydney,0.017777209276145702,0.007204081558698134,0.016760132003265097,0.007199388397124147
PPHR1,150.787936111,-32.42686111111,985.12,Sydney  ,0.05189891096567821,0.013291126205105192,0.05190063022174226,0.013395981704827744
Kangaloon 3K,150.630837816,-34.577133009,350.52,Sydney,0.011949999999999983,0.0009486832980505149,0.010962843750000006,0.0009588223786850095
GW040982,150.638985171,-34.531279767,146.0,Sydney,-0.1174363524674086,0.17201285319630993,-0.11845550188165503,0.17200681894047934
Paddy Clifton 2,151.348227734,-33.408313824,151.0,Sydney,0.0055196288295673935,0.008700536708607421,0.004526321416874183,0.008724715407592763
Gary Chapman 1,151.11041804,-34.00987006,163.0,Sydney,0.006469256291133387,0.004059038004469992,0.005468308122725433,0.0040744557464354545
Windy Hill 1,151.641703,-32.854361,928.3,Sydney,0.0,0.0,0.0,0.0
Tahmoor Sports Ground 1,150.57613778,-34.21921979,175.57,Sydney,0.005573656199322,0.018135476282472397,0.004578374973463083,0.018151946763638585
GW273190,150.633519687,-33.772965736,234.0,Sydney  ,0.0333000000000002,0.0,0.03239359999999998,0.0
Kooyong 1,148.9788806,-26.11788333,556.0,Bowen,-0.009824749384993893,0.008933383215174019,-0.010851141181031384,0.008935789964025803
Hawkesbury Munmorah 2,151.50017006,-33.234165409,269.1,Sydney,0.044408975336892975,0.037477161092155896,0.04346462716755661,0.037532111730673084
Mooney 1,150.432519083,-34.477280398,165.0,Sydney,0.07675257748317092,0.15456545388465254,0.07574840935925642,0.15457967201536882
Three Linden 1,150.713699404,-34.023258026,301.73,Sydney  ,0.008094411395989588,0.013666944535122297,0.007075225161855559,0.01367343157941219
Johns 1,150.46284857,-34.46430168,170.0,Sydney,-0.04686318883322563,0.11610714643395541,-0.04786125917427564,0.11612162258552584
Muirfield GC,151.021019444,-33.769263889,148.52,Sydney  ,-0.0037716117216117723,0.03916556136433797,-0.0047786604212454575,0.039175919920470814
PZ08C,149.778438542,-32.165391589,130.0,Sydney  ,0.0,0.0,0.0,0.0
Blackdown 2,148.92968871,-23.87455946,927.38,Bowen,0.04716380918146207,0.006844872205529544,0.04690316392952407,0.006873121210882517
DM Whybrow DDH2,150.982293,-32.677462,610.8,Sydney,0.0,0.0,0.0,0.0
Bootleg 11,150.863133959,-34.078606027,827.59,Sydney,0.0,0.0,0.0,0.0
Bangaroo Vineyard 1,150.14765951,-34.51521778,157.0,Sydney,-0.04910308707935343,0.04771234369800806,-0.050127588788804675,0.04771606181931584
Phillips 1,150.369414868,-34.417250968,163.65,Sydney  ,0.026734976499908112,0.026493488237177606,0.02573381705235248,0.026478338965464844
Dovedale 1,150.131190842,-34.539106597,88.15,Sydney  ,0.027901371177816714,0.0052447410511694305,0.02688164439447603,0.005247858811957448
Pennant Hills GC extension,151.05128669,-33.75610827,204.0,Sydney,0.006132281746031749,0.02362736608866055,0.005165093561507984,0.02365346182088116
GW40992,150.638985171,-34.531279767,146.0,Sydney,-0.002569913419913413,0.03164821136973215,-0.003582096731601736,0.031655908467031875
