# eastings,northings,RL
724417.606,6003346.275,1088.774
729454.753,6003346.275,1072.348
734491.900,6003346.275,630.526
739529.047,6003346.275,567.420
744566.194,6003346.275,460.172
749603.341,6003346.275,477.660
754640.488,6003346.275,307.013
759677.635,6003346.275,175.979
764714.782,6003346.275,188.922
769751.929,6003346.275,87.664
774789.076,6003346.275,12.052
779826.223,6003346.275,32.404
784863.370,6003346.275,-40.392
789900.517,6003346.275,-92.175
794937.663,6003346.275,-112.474
799974.810,6003346.275,-113.202
805011.957,6003346.275,-135.388
810049.104,6003346.275,-228.493
815086.251,6003346.275,-787.708
820123.398,6003346.275,-1636.571
825160.545,6003346.275,-1976.230
830197.692,6003346.275,-2000.480
835234.839,6003346.275,-3088.738
840271.986,6003346.275,-4168.465
845309.133,6003346.275,-4480.238
850346.280,6003346.275,-4726.530
855383.427,6003346.275,-4871.233
860420.574,6003346.275,-4958.713
865457.721,6003346.275,-4791.085
870494.868,6003346.275,-4684.344
875532.015,6003346.275,-4707.348
880569.162,6003346.275,-4843.420
885606.309,6003346.275,-4732.825
890643.456,6003346.275,-4693.879
895680.602,6003346.275,-4843.021
900717.749,6003346.275,-4841.661
905754.896,6003346.275,-4859.696
910792.043,6003346.275,-4835.869
915829.190,6003346.275,-4815.388
920866.337,6003346.275,-4819.106
925903.484,6003346.275,-4810.342
930940.631,6003346.275,-4822.424
935977.778,6003346.275,-4856.964
941014.925,6003346.275,-4861.683
946052.072,6003346.275,-4882.372
951089.219,6003346.275,-4952.006
956126.366,6003346.275,-4910.681
961163.513,6003346.275,-4897.523
966200.660,6003346.275,-4773.585
971237.807,6003346.275,-4688.344
976274.954,6003346.275,-4770.472
981312.101,6003346.275,-4847.477
986349.248,6003346.275,-4826.536
991386.394,6003346.275,-4785.907
996423.541,6003346.275,-4798.298
1001460.688,6003346.275,-4820.810
1006497.835,6003346.275,-4861.278
1011534.982,6003346.275,-4892.818
1016572.129,6003346.275,-4878.680
1021609.276,6003346.275,-4841.255
1026646.423,6003346.275,-4866.023
1031683.570,6003346.275,-4839.965
1036720.717,6003346.275,-4759.947
1041757.864,6003346.275,-4706.781
1046795.011,6003346.275,-4684.750
1051832.158,6003346.275,-4700.356
1056869.305,6003346.275,-4774.770
1061906.452,6003346.275,-4781.048
1066943.599,6003346.275,-4675.733
1071980.746,6003346.275,-4662.711
1077017.893,6003346.275,-4717.130
1082055.040,6003346.275,-4713.254
1087092.187,6003346.275,-4674.837
1092129.333,6003346.275,-4699.784
1097166.480,6003346.275,-4811.725
1102203.627,6003346.275,-4834.507
1107240.774,6003346.275,-4776.337
1112277.921,6003346.275,-4712.286
1117315.068,6003346.275,-4679.978
1122352.215,6003346.275,-4698.446
1127389.362,6003346.275,-4696.125
1132426.509,6003346.275,-4724.135
1137463.656,6003346.275,-4741.259
1142500.803,6003346.275,-4585.916
1147537.950,6003346.275,-4659.650
1152575.097,6003346.275,-4520.526
1157612.244,6003346.275,-4535.945
1162649.391,6003346.275,-4600.907
1167686.538,6003346.275,-4653.806
1172723.685,6003346.275,-4719.909
1177760.832,6003346.275,-4820.518
1182797.979,6003346.275,-4853.585
1187835.126,6003346.275,-4735.976
1192872.272,6003346.275,-4671.991
1197909.419,6003346.275,-4737.740
1202946.566,6003346.275,-4707.695
1207983.713,6003346.275,-4584.381
1213020.860,6003346.275,-4550.429
1218058.007,6003346.275,-5215.033
1223095.154,6003346.275,-4925.985
1228132.301,6003346.275,-4518.200
1233169.448,6003346.275,-4461.276
1238206.595,6003346.275,-4341.842
447374.524,6008361.688,151.372
452411.671,6008361.688,172.884
457448.818,6008361.688,158.239
462485.965,6008361.688,182.504
467523.112,6008361.688,165.994
472560.259,6008361.688,162.613
477597.406,6008361.688,156.297
482634.553,6008361.688,150.398
487671.700,6008361.688,170.339
492708.847,6008361.688,174.671
497745.993,6008361.688,162.361
502783.140,6008361.688,201.692
507820.287,6008361.688,253.705
512857.434,6008361.688,212.915
517894.581,6008361.688,258.348
522931.728,6008361.688,618.117
527968.875,6008361.688,220.370
533006.022,6008361.688,381.932
538043.169,6008361.688,596.894
543080.316,6008361.688,676.349
548117.463,6008361.688,533.167
553154.610,6008361.688,528.692
558191.757,6008361.688,444.502
563228.904,6008361.688,967.525
568266.051,6008361.688,572.243
573303.198,6008361.688,622.896
578340.345,6008361.688,371.121
583377.492,6008361.688,329.857
588414.639,6008361.688,238.674
593451.786,6008361.688,274.369
598488.932,6008361.688,489.235
603526.079,6008361.688,619.858
608563.226,6008361.688,1207.608
613600.373,6008361.688,1261.344
618637.520,6008361.688,1409.839
623674.667,6008361.688,1522.676
628711.814,6008361.688,1563.276
633748.961,6008361.688,1467.515
638786.108,6008361.688,1528.387
643823.255,6008361.688,1215.544
648860.402,6008361.688,1177.494
653897.549,6008361.688,1155.074
658934.696,6008361.688,1199.336
663971.843,6008361.688,1160.625
669008.990,6008361.688,1173.319
674046.137,6008361.688,1109.617
679083.284,6008361.688,1103.734
684120.431,6008361.688,1042.907
689157.578,6008361.688,955.906
694194.725,6008361.688,770.240
699231.871,6008361.688,882.455
704269.018,6008361.688,952.585
709306.165,6008361.688,956.736
714343.312,6008361.688,1015.530
719380.459,6008361.688,1107.885
724417.606,6008361.688,1132.301
729454.753,6008361.688,1051.992
734491.900,6008361.688,583.493
739529.047,6008361.688,596.574
744566.194,6008361.688,652.980
749603.341,6008361.688,639.120
754640.488,6008361.688,667.530
759677.635,6008361.688,368.438
764714.782,6008361.688,318.762
769751.929,6008361.688,75.731
774789.076,6008361.688,69.663
779826.223,6008361.688,12.551
784863.370,6008361.688,-20.285
789900.517,6008361.688,-72.409
794937.663,6008361.688,-112.249
799974.810,6008361.688,-116.160
805011.957,6008361.688,-127.471
810049.104,6008361.688,-158.666
815086.251,6008361.688,-465.559
820123.398,6008361.688,-1331.892
825160.545,6008361.688,-1676.253
830197.692,6008361.688,-1957.383
835234.839,6008361.688,-2498.538
840271.986,6008361.688,-3817.263
845309.133,6008361.688,-4011.660
850346.280,6008361.688,-3397.898
